Beetlejuice_(entertainer)	[20130614,20130605,20130604,20130613,20130603,20130612,20130601,20130610,20130602,20130611,20130608,20130609,20130615,20130606,20130607]	[545,565,526,586,761,558,526,555,931,559,472,510,412,542,517]	8565	-171
Andy_Lee_(entertainer)	[20130614,20130605,20130606,20130615,20130607,20130611,20130602,20130613,20130604,20130612,20130603,20130610,20130601,20130609,20130608]	[501,619,667,534,619,435,606,536,525,460,591,526,766,564,605]	8554	-232
Kahi_(entertainer)	[20130606,20130615,20130604,20130613,20130605,20130614,20130610,20130601,20130607,20130602,20130611,20130612,20130603,20130608,20130609]	[408,848,402,1023,438,903,505,393,387,423,494,466,396,384,442]	7912	2218
Zhou_Mi_(entertainer)	[20130606,20130615,20130609,20130607,20130613,20130604,20130608,20130601,20130610,20130602,20130611,20130603,20130612,20130614,20130605]	[344,436,659,699,421,447,697,421,622,492,495,424,515,432,397]	7501	1053
Birdman_(entertainer)	[20130611,20130602,20130608,20130615,20130606,20130612,20130603,20130609,20130610,20130601,20130607,20130613,20130604,20130614,20130605]	[434,497,406,432,416,821,463,434,505,542,448,630,550,474,433]	7485	787
Psy_(entertainer)	[20130603,20130612,20130613,20130604,20130605,20130614,20130607,20130606,20130615,20130608,20130609,20130601,20130610,20130602,20130611]	[503,371,432,437,446,409,440,440,439,526,551,533,518,559,431]	7035	319
Gauge_(entertainer)	[20130605,20130614,20130606,20130615,20130601,20130610,20130602,20130611,20130612,20130603,20130613,20130604,20130607,20130609,20130608]	[450,394,440,544,419,500,494,463,444,498,378,464,442,434,410]	6774	360
Lizzy_(entertainer)	[20130607,20130604,20130613,20130614,20130605,20130609,20130611,20130602,20130615,20130606,20130608,20130601,20130610,20130612,20130603]	[445,353,730,683,331,371,431,415,597,437,480,373,339,373,413]	6771	1237
Kirsten_Price_(entertainer)	[20130610,20130601,20130606,20130615,20130609,20130608,20130604,20130613,20130603,20130612,20130611,20130602,20130605,20130614,20130607]	[472,384,436,363,382,411,386,476,503,501,451,435,452,435,383]	6470	512
Larry_Miller_(entertainer)	[20130605,20130614,20130615,20130606,20130607,20130613,20130604,20130603,20130612,20130609,20130602,20130611,20130608,20130601,20130610]	[421,444,411,375,384,497,372,490,370,380,461,420,565,352,457]	6399	689
Meera_(entertainer)	[20130607,20130609,20130601,20130610,20130608,20130614,20130605,20130602,20130611,20130604,20130613,20130603,20130612,20130615,20130606]	[434,378,402,377,392,364,454,378,402,447,388,395,400,353,356]	5920	188
